ID,AGE_HEAD,AGE_SPOUSE,SEX_HEAD,SEX_SPOUSE,EDU_HEAD,EDU_SPOUSE,OCC_HEAD,OCC_SPOUSE,STATE,MARITAL,HOUSEHOLD_SIZE,CHILDREN,SPOUSE_PRESENT,WEIGHT,INCOME,HEAD_LABOR,SPOUSE_LABOR,WEEKS_HEAD,WEEKS_SPOUSE,WEEKS_OUT_HEAD,WEEKS_OUT_SPOUSE,EXP,GAS,FOOD_HOME,FOOD_DELIV,FOOD_OUT,RENT,EDUC_EXP,CHILDCARE,TRIPS,WEALTH,HOUSE_VALUE,MORTGAGE,MORT_PAY,HOME_EQUITY,BUSINESS_VAL,PROPERTY_TAX
39,32.99999999999999,0,1,0,13.999999999999998,0,9819.999999999998,0,4,4,2,1,0,7162.445999999997,85004.99999999997,69999.99999999997,0,51.99999999999999,0,0,0,53069.99999999998,1439.9999999999995,6239.999999999999,0,2079.9999999999995,16199.999999999995,0,6999.999999999997,2499.9999999999995,78499.99999999997,0,0,0,0,0,0
40,58.99999999999999,52.99999999999999,1,2,15.999999999999998,16.999999999999996,1599.9999999999998,2199.9999999999995,28.999999999999996,1,2,0,1,21107.356999999993,244999.99999999988,0,69999.99999999997,51.99999999999999,51.99999999999999,0,0,151543.99999999994,9599.999999999998,10399.999999999996,0,6239.999999999999,0,12999.999999999996,0,2499.9999999999995,1527999.9999999993,224999.9999999999,64999.99999999998,6423.999999999997,159999.99999999997,999999.9999999995,2499.9999999999995
40.99999999999999,81.99999999999999,78,1,2,11.999999999999998,11.999999999999998,0,0,35.99999999999999,1,2,0,1,54511.074999999975,12256.999999999993,0,0,0,0,51.99999999999999,51.99999999999999,32961.999999999985,1439.9999999999995,5199.999999999999,0,2599.9999999999995,0,0,0,0,453499.9999999998,349999.9999999999,0,0,349999.9999999999,0,1099.9999999999998
42,57.99999999999999,0,2,0,11.999999999999998,0,3254.999999999999,0,26.999999999999996,4,1,0,0,32561.20399999999,90009.99999999996,89999.99999999997,0,51.99999999999999,0,0,0,31859.99999999999,479.99999999999994,7799.999999999997,0,2079.9999999999995,0,0,0,999.9999999999997,447499.99999999994,159999.99999999997,68999.99999999999,5399.999999999999,90999.99999999996,0,1799.9999999999998
44,42.99999999999999,0,1,0,12.999999999999998,0,3849.9999999999986,0,1,1,2,0,0,18729.355999999992,106499.99999999996,98999.99999999997,0,51.99999999999999,0,0,0,37852.99999999999,1199.9999999999998,6499.999999999998,0,3639.9999999999995,0,0,0,0,204999.9999999999,194999.99999999994,0,0,194999.99999999994,0,912.9999999999997
44.99999999999999,25.999999999999996,26.999999999999996,1,2,13.999999999999998,15.999999999999998,6229.999999999999,2319.9999999999995,20,1,4,2,1,7822.291999999998,70999.99999999997,59999.99999999998,10999.999999999996,51.99999999999999,51.99999999999999,0,0,41677.99999999997,899.9999999999999,3899.9999999999986,0,599.9999999999999,0,0,3499.9999999999986,3999.9999999999986,32499.99999999999,64999.99999999998,47999.99999999998,3079.999999999999,16999.999999999996,0,1499.9999999999995
45.99999999999999,35.99999999999999,0,2,0,15.999999999999998,0,0,0,6,2,1,0,0,52773.144999999975,649.9999999999999,0,0,0,0,51.99999999999999,0,105609.99999999996,1799.9999999999998,2599.9999999999995,2599.9999999999995,10399.999999999996,43199.99999999998,0,0,14999.999999999995,8307999.999999996,0,0,0,0,0,0
47,73.99999999999999,0,2,0,13.999999999999998,0,0,0,4,3,1,0,0,36067.81699999999,20339.99999999999,0,0,0,0,51.99999999999999,0,18460.999999999996,239.99999999999997,1299.9999999999998,0,0,0,0,0,20,4009.9999999999986,3999.9999999999986,0,0,3999.9999999999986,0,0
47.99999999999999,59.99999999999999,0,2,0,15.999999999999998,0,0,0,39,2,1,0,0,37297.03899999999,499.99999999999994,0,0,0,0,51.99999999999999,0,6457.3899999999985,0,0,0,259.99999999999994,3777.3899999999994,0,0,0,7799.999999999997,0,0,0,0,0,0
49,72.99999999999999,0,1,0,11.999999999999998,0,0,0,47.99999999999999,3,1,0,0,55660.12299999998,15599.999999999995,0,0,0,0,51.99999999999999,0,17439.999999999996,0,2599.9999999999995,0,0,0,0,0,0,134999.99999999997,79999.99999999997,0,0,79999.99999999997,0,499.99999999999994
49.99999999999999,47.99999999999999,0,2,0,13.999999999999998,0,2539.9999999999995,0,39,4,2,1,0,4856.506999999999,22590.999999999993,1699.9999999999998,0,9,0,40.99999999999999,0,19602.999999999993,959.9999999999999,5199.999999999999,0,1299.9999999999998,3599.9999999999995,0,0,249.99999999999997,-31889.99999999999,0,0,0,0,0,0
50.99999999999999,70.99999999999999,63.99999999999999,1,2,15.999999999999998,16.999999999999996,4219.999999999999,2339.9999999999995,12.999999999999998,1,2,0,1,19593.496999999992,124607.99999999996,18262.999999999993,0,25.999999999999996,51.99999999999999,25.999999999999996,0,40845.999999999985,899.9999999999999,3119.9999999999995,0,1039.9999999999998,0,0,0,799.9999999999999,34523.999999999985,209999.9999999999,178747.99999999997,10156.999999999995,31251.99999999999,0,344.99999999999994
51.99999999999999,70.99999999999999,0,2,0,15.999999999999998,0,0,0,28.999999999999996,2,1,0,0,36890.840999999986,27399.99999999999,0,0,0,0,51.99999999999999,0,21427.99999999999,479.99999999999994,3899.9999999999986,0,2079.9999999999995,0,0,0,0,116199.99999999999,69999.99999999997,6999.999999999997,299.99999999999994,62999.99999999998,0,999.9999999999997
52.99999999999999,74.99999999999999,0,1,0,11,0,0,0,47,4,1,0,0,44316.51,17004.999999999996,0,0,0,0,51.99999999999999,0,10876.999999999995,0,2599.9999999999995,0,0,0,0,0,0,68999.99999999999,59999.99999999998,24999.99999999999,3191.9999999999986,34999.999999999985,0,149.99999999999997
53.99999999999999,89.99999999999999,0,1,0,15.999999999999998,0,0,0,16.999999999999996,3,1,0,0,31334.19599999999,43129.99999999998,0,0,0,0,51.99999999999999,0,27078.999999999996,959.9999999999999,2599.9999999999995,0,4159.999999999998,0,0,0,0,118999.99999999999,154999.99999999997,49999.99999999998,5327.999999999998,104999.99999999996,0,3299.9999999999986
